id,created_at,text
598037918154817536,2015-05-12 08:12:05,Pourquoi nous est-il si difficile de supporter les défauts des autres ? Oublions nous que Jésus a supporté tous nos péchés ?
596980192674910208,2015-05-09 10:09:03,"Apprenons à vivre la bienveillance, à aimer tout le monde, aussi ceux qui ne nous aiment pas."
596239810584383488,2015-05-07 09:07:03,"Quand on ne peut gagner son pain, on perd sa dignité. C’est un drame aujourd’hui, spécialement pour les jeunes."
595516237477715968,2015-05-05 09:11:49,"Cela nous fait du bien de rester un moment devant le Tabernacle, pour sentir le regard de Jésus sur nous."
594437437876604928,2015-05-02 09:45:03,L’amour du Christ nous remplit le cœur et nous rend capable de pardonner toujours.
593724010325614595,2015-04-30 10:30:09,"Au milieu de beaucoup de problèmes, même graves, ne perdons pas l’espérance en l’infinie miséricorde de Dieu."
592968509371461632,2015-04-28 08:28:04,"Chaque communauté chrétienne doit être une maison accueillante pour qui cherche Dieu, comme aussi pour qui cherche un frère qui l’écoute."
591880582532993025,2015-04-25 08:25:02,Nous chrétiens nous sommes appelés à sortir de nos « enceintes » pour porter à tous la miséricorde et la tendresse de Dieu.
591170406947557378,2015-04-23 09:23:03,"Dans les Sacrements, nous trouvons la force de penser et d’agir selon l’Évangile."
590439957166075906,2015-04-21 09:00:30,"Il faut garder la terre afin qu’elle puisse continuer d’être, comme Dieu la veut, source de vie pour la famille humaine tout entière."
589005443130724352,2015-04-17 10:00:15,"Marie, Mère des Douleurs, aide-nous à comprendre la volonté de Dieu dans les moments de grande souffrance."
587906668739989504,2015-04-14 09:14:07,Le Seigneur ne se lasse jamais de nous pardonner. C’est nous qui nous lassons de demander pardon.
586441031484182528,2015-04-10 08:10:12,Nous pouvons porter l’Évangile aux autres s’il imprègne profondément notre vie.
586093459276079104,2015-04-09 09:09:04,"Seigneur, donne-nous la grâce des larmes, pour pleurer nos péchés et recevoir ton pardon."
585006795854188544,2015-04-06 09:11:03,"Seigneur, aide-nous à vivre la vertu de la magnanimité, pour aimer sans limites."
584629103979991041,2015-04-05 08:10:14,Christ est ressuscité ! Christ est vivant et marche avec nous !
583932013624733696,2015-04-03 10:00:15,La Croix du Christ n’est pas une défaite : la Croix est amour et miséricorde.
583569583912521728,2015-04-02 10:00:05,Jésus lave les pieds de ses apôtres. Sommes-nous disposés à servir les autres ainsi ?
582844835226238976,2015-03-31 10:00:12,"La Confession est le sacrement de la tendresse de Dieu, sa manière de nous embrasser."
582440880058978304,2015-03-30 07:15:01,La Semaine Sainte est le temps qui nous invite le plus à rester près de Jésus : l’amitié se voit dans l’épreuve.
581772773581684737,2015-03-28 11:00:12,"En tant que disciples du Christ, nous ne pouvons pas ne pas nous intéresser au bien des plus faibles."
581386995219349504,2015-03-27 09:27:15,"La vie est un trésor précieux, mais nous le découvrons seulement si nous la donnons aux autres."
581032933701464064,2015-03-26 10:00:21,Les fidèles laïcs sont appelés à devenir ferment de vie chrétienne dans toute la société.
580311881287483392,2015-03-24 10:15:08,La souffrance est un appel à la conversion : elle nous rappelle que nous sommes fragiles et vulnérables.
579961010997473280,2015-03-23 11:00:54,"Que chaque Église, que chaque communauté chrétienne soit un lieu de miséricorde au milieu de tant d’indifférence !"
577786526261637120,2015-03-17 11:00:17,Laissons Dieu nous remplir de sa bonté et de sa miséricorde.
576661555258888192,2015-03-14 08:30:03,"Le Carême est un temps pour nous approcher du Christ, par la Parole de Dieu et par les Sacrements."
575967003875282944,2015-03-12 10:30:09,"Attention à notre confort ! Quand  nous nous sentons bien à l’aise, nous oublions facilement les autres."
575219657713434625,2015-03-10 09:00:28,"Dans les moments plus difficiles, rappelez-vous : Dieu est notre Père ; Dieu n’abandonne pas ses enfants."
574887447588311040,2015-03-09 11:00:23,L’humilité sauve l’homme : l’orgueil lui fait perdre sa route.
574147573864247296,2015-03-07 10:00:23,"Construisons notre vie de foi sur le roc, qui est le Christ."
573400099151204353,2015-03-05 08:30:11,"Si nous sommes trop attachés à la richesse, nous ne sommes pas libres. Nous sommes esclaves."
572682904695775233,2015-03-03 09:00:19,"Le cœur s’endurcit quand il n’aime pas. Seigneur, donne-nous un cœur qui sache aimer !"
571625911021256708,2015-02-28 11:00:12,"Jésus intercède pour nous, chaque jour. Prions : Seigneur, aie pitié de moi, intercède pour moi !"
569081652376309763,2015-02-21 10:30:13,Il n’y a pas de péché que Dieu ne puisse pardonner. Il suffit que nous demandions pardon.
568726776387497985,2015-02-20 11:00:04,Les Sacrements sont la manifestation de la tendresse et de l’amour du Père envers chacun de nous.
568354061809876993,2015-02-19 10:19:02,"Là où il y a des hommes et des femmes qui ont consacré leur vie à Dieu, il y a de la joie."
568002020809969665,2015-02-18 11:00:09,"Seigneur, donne-nous la grâce de nous sentir pécheurs."
567609463517028352,2015-02-17 09:00:16,"Durant le Carême, trouvons des moyens concrets de vaincre notre indifférence."
567250802016649217,2015-02-16 09:15:04,Jésus est venu porter la joie à tous et pour toujours.
564349968966623233,2015-02-08 09:08:12,Jésus n’est pas un personnage du passé : Il continue toujours d’éclairer le chemin de l’homme.
563609587350134784,2015-02-06 08:06:11,Avoir la foi ce n’est pas ne pas avoir des moments difficiles mais avoir la force de les affronter en sachant que nous ne sommes pas seuls
562551885702258688,2015-02-03 10:03:15,Nous sommes tous pécheurs. Nous sommes tous appelés à une conversion du cœur.
561456418042032128,2015-01-31 09:30:16,Il y a un besoin urgent d’un témoignage crédible de la vérité et des valeurs de l’Évangile.
560731635021119488,2015-01-29 09:30:14,L’amour véritable ne fait pas attention au mal reçu. Il se réjouit dans le bien qu’il fait.
560029525166133248,2015-01-27 11:00:18,"Auschwitz crie la douleur d’une souffrance effroyable et réclame un avenir de respect, de paix et de rencontre entre les peuples"
558918131272273920,2015-01-24 09:24:01,Mettre en pratique la charité est la meilleure manière d’évangéliser.
557076290302246912,2015-01-19 07:25:12,"À mes amis du Sri Lanka et des Philippines : que Dieu vous bénisse tous. S’il vous plaît, priez pour moi."
556767993321910273,2015-01-18 11:00:08,Que de fois nous oublions de nous concentrer sur ce qui compte vraiment ! Nous oublions d’être enfants de Dieu.
556669850118938624,2015-01-18 04:30:09,"En tant que chrétiens, membres de la famille de Dieu, nous sommes appelés à aller vers ceux qui sont dans le besoin et à les servir."
556405611609346048,2015-01-17 11:00:09,"La com-passion de Dieu, le fait qu’il souffre avec nous, donne sens et valeur à nos efforts et à nos souffrances."
556058406457323520,2015-01-16 12:00:29,La famille est le plus grand trésor d’un pays. Travaillons tous pour protéger et renforcer cette pierre d’angle de la société !
555997938644570113,2015-01-16 08:00:13,Les Philippines sont un témoignage de la jeunesse et de la vitalité de l’Église.
555635587785297920,2015-01-15 08:00:21,Que Dieu bénisse et protège le Sri Lanka
555273167447396352,2015-01-14 08:00:14,"Saint Joseph Vaz, enseigne-nous à grandir en sainteté et à vivre le message de miséricorde de l’Évangile !"
554593706527842305,2015-01-12 11:00:18,"En ce jour où je commence mon voyage au Sri Lanka et aux Philippines, je vous demande de prier pour moi et pour les peuples de ces pays."
553838739646971904,2015-01-10 09:00:20,Le dimanche est le jour du Seigneur : trouvons le temps de rester avec Lui.
553110157723316226,2015-01-08 08:45:12,#PrayersForParis
552381563283861504,2015-01-06 08:30:02,Jésus est venu pour nous sauver : ne refusons pas ce don merveilleux !
552056935638265856,2015-01-05 11:00:04,"Seigneur, fais que nous sachions te reconnaître dans les malades, dans ceux qui sont dans le besoin et dans ceux qui souffrent."
551332177502150658,2015-01-03 11:00:09,Le christianisme se répand grâce à la joie des disciples qui se savent aimés et sauvés.
550569645325828097,2015-01-01 08:30:07,"Tant de personnes innocentes et tant d’enfants souffrent dans le monde ! Seigneur, donne-nous ta paix !"
550245010579288065,2014-12-31 11:00:08,"Seigneur, merci !"
549882692234276865,2014-12-30 11:00:24,"Aujourd’hui, on souffre de pauvreté, mais aussi de manque d’amour."
549146493341294595,2014-12-28 10:15:01,La famille chrétienne est missionnaire : elle annonce au monde l’amour de Dieu.
548425544685981696,2014-12-26 10:30:13,"Aujourd’hui, prions pour tous ceux qui sont persécutés à cause de la foi chrétienne"
548063111039557634,2014-12-25 10:30:02,"Avec Jésus, c’est la vraie joie."
547708300305764355,2014-12-24 11:00:09,Cherchons à écouter et à faire silence pour laisser de la place à la beauté de Dieu.
547345923253084161,2014-12-23 11:00:11,"Parfois, nous sommes esclaves du péché. Seigneur, viens nous libérer !"
546228588131782656,2014-12-20 09:00:18,"Pour que Jésus devienne le centre de notre vie, il est nécessaire de rester en sa présence, devant le Tabernacle."
545523410567049216,2014-12-18 10:18:11,Le Seigneur l’a clairement  dit: vous ne pouvez servir deux maîtres. Ou Dieu ou les richesses.
544782789594189825,2014-12-16 09:15:13,Comme il est important de savoir écouter ! Le dialogue entre conjoints est essentiel pour qu’une famille puisse être sereine.
543684304841105408,2014-12-13 08:30:14,"Aujourd’hui, c’est l’anniversaire de mon ordination sacerdotale. Je vous demande de prier pour moi et pour tous les prêtres."
543329483353112576,2014-12-12 09:00:18,"Notre Dame de Guadalupe, prie pour nous !"
542982192066859008,2014-12-11 10:00:17,La question écologique est vitale pour la survie de l’homme et a une dimension morale qui nous touche tous.
542259667716415488,2014-12-09 10:09:14,La famille est la communauté d’amour dans laquelle chaque personne apprend à se mettre en relation avec les autres et avec le monde.
541879912190074880,2014-12-08 09:00:13,Apprenons de la Vierge Marie à être plus courageux pour suivre la Parole de Dieu.
541260872690061312,2014-12-06 16:00:22,"Mon vidéo message pour le Chrétiens d’Irak

http://t.co/1TrDmylS2M"
541141544963538944,2014-12-06 08:06:12,"L’Avent nous fait commencer un nouveau chemin. Laissons-nous guider par Marie, notre Mère."
540470634384330754,2014-12-04 11:40:15,"Le temps de l’Avent nous apporte l’espérance, une espérance qui ne déçoit pas. Le Seigneur ne déçoit jamais."
539742821012742144,2014-12-02 11:28:11,Plus jamais d'esclaves. Nous sommes tous frères et soeurs. #EndSlavery
539705575106293760,2014-12-02 09:00:11,"L’Église est appelée à se faire proche de chaque personne, en commençant par les plus pauvres et par celles qui souffrent."
537885325507305472,2014-11-27 08:27:09,L’amour est la mesure de la foi.
536057027298988032,2014-11-22 07:22:09,"Quand nous rencontrons une personne qui est vraiment dans le besoin, reconnaissons-nous en elle le visage de Dieu ?"
535361942072750080,2014-11-20 09:20:08,Cherchons à vivre de manière toujours digne de notre vocation chrétienne.
534651742202257408,2014-11-18 10:18:03,Que de bruit dans le monde ! Apprenons à reste en silence devant nous-mêmes et devant Dieu.
533541225492512770,2014-11-15 08:45:15,"Un chrétien porte la paix aux autres. Et non seulement la paix, mais aussi l’amour, la bonté, la fidélité et la joie."
532823457474437122,2014-11-13 09:13:06,"La guerre détruit, tue, appauvrit. Seigneur, donne-nous ta paix !"
532110508782911489,2014-11-11 10:00:06,"Comme le travail est important : pour la dignité humaine, pour former une famille, pour la paix !"
531461266682814464,2014-11-09 15:00:14,"Je demande à toutes les personnes de bonne volonté de contribuer à créer une culture de la rencontre, de la solidarité, de la paix. #fotw25"
531025355935473664,2014-11-08 10:08:05,"L’Église est toujours en chemin, à la recherche de nouvelles voies pour l’annonce de l’Évangile."
530285000860524544,2014-11-06 09:06:11,L’indifférence envers ceux qui sont dans le besoin n’est pas  acceptable pour une personne qui se dit chrétienne.
529558874659901441,2014-11-04 09:00:49,L’humilité nous aide à prendre en charge le fardeau des autres.
528486680387276800,2014-11-01 10:00:18,Que de bien nous pouvons faire par le bon exemple et que de mal par l’hypocrisie.
527746929875103744,2014-10-30 09:00:47,"La mission principale de l’Église c’est d’évangéliser, de porter la Bonne Nouvelle à tous."
527019510935482368,2014-10-28 08:50:17,Aidons les personnes à découvrir la joie du message chrétien : un message d’amour et de miséricorde.
525910947026571264,2014-10-25 07:25:15,La Croix de Jésus montre toute la force du mal mais aussi toute la puissance de la miséricorde de Dieu.
525187397042962432,2014-10-23 07:30:07,La famille est le lieu où nous nous formons en tant que personne. Chaque famille est une brique qui construit la société.
524485322826993664,2014-10-21 09:00:20,"La foi, pour être saine et robuste, doit être constamment nourrie de la Parole de Dieu."
523432063790100480,2014-10-18 11:15:03,"Pour changer le monde, il faut faire du bien à celui qui n’est pas en mesure de le rendre."
522701045793693696,2014-10-16 10:50:15,Le chrétien est nécessairement miséricordieux ; c’est le cœur de l’Évangile.
521974985359757312,2014-10-14 10:45:09,"Seigneur, donne ta consolation à ceux qui souffrent, spécialement aux malades, à ceux qui sont dans le besoin, à ceux qui sont au chômage."
520864140781318145,2014-10-11 09:11:03,"Le pouvoir spirituel des sacrements est immense. Avec la grâce, nous pouvons dépasser tous les obstacles."
520163074699837440,2014-10-09 10:45:15,"Chers jeunes, le Christ compte sur vous pour être ses amis et des témoins de son amour infini."
519442074723024896,2014-10-07 11:00:16,"Demandons au Seigneur la grâce de ne pas dire du mal, de ne pas critiquer, de ne pas faire de commérages, d’aimer tout le monde."
